city_name,date,rain_sum (mm)
Anuradhapura,1/1/2010,0.0
Anuradhapura,1/2/2010,0.0
Anuradhapura,1/3/2010,1.4
Anuradhapura,1/4/2010,0.0
Anuradhapura,1/5/2010,0.0
Anuradhapura,1/6/2010,0.0
Anuradhapura,1/7/2010,1.7
Anuradhapura,1/8/2010,31.8
Anuradhapura,1/9/2010,1.6
Anuradhapura,1/10/2010,0.4
Anuradhapura,1/11/2010,0.7
Anuradhapura,1/12/2010,7.8
Anuradhapura,1/13/2010,2.5
Anuradhapura,1/14/2010,1.0
Anuradhapura,1/15/2010,0.0
Anuradhapura,1/16/2010,2.8
Anuradhapura,1/17/2010,1.3
Anuradhapura,1/18/2010,1.6
Anuradhapura,1/19/2010,0.0
Anuradhapura,1/20/2010,0.0
Anuradhapura,1/21/2010,0.0
Anuradhapura,1/22/2010,0.0
Anuradhapura,1/23/2010,0.0
Anuradhapura,1/24/2010,0.0
Anuradhapura,1/25/2010,0.0
Anuradhapura,1/26/2010,0.0
Anuradhapura,1/27/2010,1.6
Anuradhapura,1/28/2010,1.3
Anuradhapura,1/29/2010,0.0
Anuradhapura,1/30/2010,1.0
Anuradhapura,1/31/2010,0.0
Anuradhapura,2/1/2010,0.0
Anuradhapura,2/2/2010,1.0
Anuradhapura,2/3/2010,0.0
Anuradhapura,2/4/2010,0.0
Anuradhapura,2/5/2010,0.0
Anuradhapura,2/6/2010,0.0
Anuradhapura,2/7/2010,0.0
Anuradhapura,2/8/2010,0.0
Anuradhapura,2/9/2010,0.1
Anuradhapura,2/10/2010,1.6
Anuradhapura,2/11/2010,0.0
Anuradhapura,2/12/2010,0.0
Anuradhapura,2/13/2010,0.1
Anuradhapura,2/14/2010,0.0
Anuradhapura,2/15/2010,0.0
Anuradhapura,2/16/2010,2.1
Anuradhapura,2/17/2010,1.1
Anuradhapura,2/18/2010,0.0
Anuradhapura,2/19/2010,0.0
Anuradhapura,2/20/2010,0.0
Anuradhapura,2/21/2010,0.0
Anuradhapura,2/22/2010,0.0
Anuradhapura,2/23/2010,0.0
Anuradhapura,2/24/2010,0.0
Anuradhapura,2/25/2010,0.0
Anuradhapura,2/26/2010,0.0
Anuradhapura,2/27/2010,0.0
Anuradhapura,2/28/2010,0.0
Anuradhapura,3/1/2010,0.0
Anuradhapura,3/2/2010,0.0
Anuradhapura,3/3/2010,0.0
Anuradhapura,3/4/2010,0.0
Anuradhapura,3/5/2010,0.0
Anuradhapura,3/6/2010,0.0
Anuradhapura,3/7/2010,0.0
Anuradhapura,3/8/2010,0.0
Anuradhapura,3/9/2010,0.0
Anuradhapura,3/10/2010,0.0
Anuradhapura,3/11/2010,0.0
Anuradhapura,3/12/2010,0.0
Anuradhapura,3/13/2010,1.1
Anuradhapura,3/14/2010,0.1
Anuradhapura,3/15/2010,0.0
Anuradhapura,3/16/2010,0.0
Anuradhapura,3/17/2010,0.4
Anuradhapura,3/18/2010,0.6
Anuradhapura,3/19/2010,0.5
Anuradhapura,3/20/2010,0.1
Anuradhapura,3/21/2010,0.0
Anuradhapura,3/22/2010,0.0
Anuradhapura,3/23/2010,0.0
Anuradhapura,3/24/2010,14.4
Anuradhapura,3/25/2010,4.8
Anuradhapura,3/26/2010,2.8
Anuradhapura,3/27/2010,20.1
